1;Administración Pública;21089;15%;20%;30%;25%;10%;450;No tiene;35;625.8;513
2;Bibliotecología y Documentación;21002;20%;20%;40%;10%;10%;450;No tiene;35;675.3;453.6
3;Contador Público y Auditor;21012;20%;20%;30%;15%;15%;450;No tiene;80;635.55;452.2
4;Ingeniería Comercial;21048;10%;20%;30%;30%;10%;450;No tiene;125;652.9;496.9
5;Ingeniería en Administración Agroindustrial;21015;10%;20%;30%;30%;10%;450;No tiene;30;628.8;461.8
6;Ingeniería en Comercio Internacional;21081;10%;20%;30%;30%;10%;450;No tiene;90;637.2;458.8
7;Ingeniería en Gestión Turística;21082;10%;20%;30%;30%;10%;450;No tiene;25;659.4;448.1
8;Arquitectura;21047;15%;25%;20%;20%;20%;450;No tiene;100;640.2;527.4
9;Ingeniería Civil en Obras Civiles;21074;20%;20%;15%;35%;10%;450;No tiene;100;625;476.1
10;Ingeniería en Construcción;21032;20%;20%;15%;35%;10%;450;No tiene;100;716.3;476.95
11;Ingeniería Civil en Prevención de Riesgos y Medioambiente;21087;15%;35%;20%;20%;10%;450;No tiene;30;615.2;462.85
12;Ingeniería en Biotecnología;21073;15%;25%;20%;30%;10%;450;No tiene;60;675.8;540.9
13;Ingeniería en Industria Alimentaria;21039;15%;25%;20%;30%;10%;450;No tiene;30;680.2;464.9
14;Ingeniería en Química;21080;10%;25%;15%;30%;20%;450;No tiene;80;606.55;451.7
15;Química Industrial;21083;10%;25%;15%;30%;20%;450;No tiene;40;596.05;472
16;Diseño en Comunicación Visual;21024;10%;40%;30%;10%;10%;450;No tiene;100;706.3;440.2
17;Diseño Industrial;21023;10%;40%;30%;10%;10%;450;No tiene;65;642.2;439.9
18;Trabajo Social;21043;20%;30%;20%;10%;20%;450;No tiene;95;705.9;510.5
19;Bachillerato en Ciencias de la Ingeniería;21046;10%;25%;20%;35%;10%;450;No tiene;25;586.45;504.25
20;Dibujante Proyectista;21071;10%;25%;20%;35%;10%;450;No tiene;25;689.85;496.45
21;Ingeniería Civil en Computación. mención Informática;21041;10%;25%;20%;35%;10%;450;No tiene;130;673.65;539.35
22;Ingeniería Civil Industrial;21076;10%;25%;20%;35%;10%;450;No tiene;200;671.25;500.85
23;Ingeniería Civil en Ciencia de Datos;21049;10%;25%;20%;35%;10%;450;No tiene;60;673.65;539.35
24;Ingeniería Civil Electrónica;21075;10%;25%;20%;35%;10%;450;No tiene;80;657.35;500.65
25;Ingeniería Civil en Mecánica;21096;10%;25%;20%;35%;10%;450;No tiene;90;697.65;506.8
26;Ingeniería en Geomensura;21031;10%;25%;20%;35%;10%;450;No tiene;60;614.3;487.85
27;Ingeniería en Informática;21030;10%;25%;20%;35%;10%;450;No tiene;105;705.15;507.75
28;Ingeniería Industrial;21045;10%;25%;20%;35%;10%;450;No tiene;60;584.75;476.25














































































































































































